time,resultDescription
2025-05-04T16:14:22.3097735Z,"2025-05-04 16:14:22,303 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-04T16:15:04.9704536Z,"2025-05-04 16:15:04,958 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-04T16:26:16.0867544Z,"2025-05-04 16:26:16,086 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-04T16:26:19.1032762Z,"2025-05-04 16:26:19,082 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-04T16:27:40.2317943Z,"2025-05-04 16:27:40,231 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: internet"
2025-05-04T16:30:28.9201142Z,"2025-05-04 16:30:28,920 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: "
2025-05-04T16:43:19.7813288Z,"2025-05-04 16:43:19,709 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T05:40:51.3150664Z,"2025-05-05 05:40:51,049 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T05:41:46.8623789Z,"2025-05-05 05:41:46,861 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T06:43:56.75014Z,"2025-05-05 06:43:56,747 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T07:09:04.7709778Z,"2025-05-05 07:09:04,741 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T07:47:38.613149Z,"2025-05-05 07:47:38,603 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T07:48:56.4164589Z,"2025-05-05 07:48:56,416 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T07:52:31.4441188Z,"2025-05-05 07:52:31,443 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T07:54:49.2064718Z,"2025-05-05 07:54:49,206 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T08:12:14.1473613Z,"2025-05-05 08:12:14,064 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T08:18:31.3733774Z,"2025-05-05 08:18:31,373 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T08:33:35.6989215Z,"2025-05-05 08:33:35,671 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T08:43:14.8182188Z,"2025-05-05 08:43:14,817 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T08:56:52.3507663Z,"2025-05-05 08:56:52,350 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T08:57:04.8866254Z,"2025-05-05 08:57:04,876 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T09:03:36.1026883Z,"2025-05-05 09:03:36,102 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T09:03:39.5652363Z,"2025-05-05 09:03:39,555 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T09:20:39.0819862Z,"2025-05-05 09:20:39,064 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-05T09:42:41.5716381Z,"2025-05-05 09:42:41,551 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T09:44:25.6437056Z,"2025-05-05 09:44:25,643 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T11:22:50.2617686Z,"2025-05-05 11:22:50,261 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T11:41:27.5807566Z,"2025-05-05 11:41:27,534 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T11:58:34.114262Z,"2025-05-05 11:58:34,097 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T12:03:18.3863219Z,"2025-05-05 12:03:18,386 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T12:03:32.6420005Z,"2025-05-05 12:03:32,641 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T12:09:21.6724923Z,"2025-05-05 12:09:21,672 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T12:14:56.751801Z,"2025-05-05 12:14:56,751 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T12:22:31.2671869Z,"2025-05-05 12:22:31,267 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T12:23:42.940849Z,"2025-05-05 12:23:42,940 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-05T12:25:07.5239122Z,"2025-05-05 12:25:07,523 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T12:25:16.2325566Z,"2025-05-05 12:25:16,203 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-05T12:26:57.8236484Z,"2025-05-05 12:26:57,814 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: "
2025-05-05T12:27:30.5313794Z,"2025-05-05 12:27:30,531 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T12:28:10.5300252Z,"2025-05-05 12:28:10,529 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: default | Search Mode: internet"
2025-05-05T12:34:22.8942606Z,"2025-05-05 12:34:22,889 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T12:40:32.2321077Z,"2025-05-05 12:40:32,222 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T12:41:44.7453317Z,"2025-05-05 12:41:44,745 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T12:45:44.5029951Z,"2025-05-05 12:45:44,502 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T13:07:18.2455962Z,"2025-05-05 13:07:18,217 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T13:08:40.7313812Z,"2025-05-05 13:08:40,731 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T13:31:53.3212316Z,"2025-05-05 13:31:53,282 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T13:36:33.4980081Z,"2025-05-05 13:36:33,495 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T13:37:29.6159299Z,"2025-05-05 13:37:29,615 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T13:38:00.9612782Z,"2025-05-05 13:38:00,961 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T13:39:11.8066116Z,"2025-05-05 13:39:11,775 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-05T13:41:04.8149756Z,"2025-05-05 13:41:04,814 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T13:48:46.0136184Z,"2025-05-05 13:48:46,003 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T13:50:44.0999236Z,"2025-05-05 13:50:44,099 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-05T13:52:09.0547706Z,"2025-05-05 13:52:09,054 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T14:14:15.6704174Z,"2025-05-05 14:14:15,624 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-05T15:06:48.3943789Z,"2025-05-05 15:06:48,323 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T15:09:09.9955119Z,"2025-05-05 15:09:09,995 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T15:11:33.7008807Z,"2025-05-05 15:11:33,693 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T15:14:22.5293135Z,"2025-05-05 15:14:22,529 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-05T15:30:14.0725953Z,"2025-05-05 15:30:14,041 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T15:52:06.5287632Z,"2025-05-05 15:52:06,496 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T16:03:12.3725989Z,"2025-05-05 16:03:12,372 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T16:17:26.928548Z,"2025-05-05 16:17:26,871 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:19:50.3825225Z,"2025-05-05 16:19:50,382 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:27:56.5647898Z,"2025-05-05 16:27:56,561 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:31:58.5805088Z,"2025-05-05 16:31:58,580 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-05T16:32:38.7797024Z,"2025-05-05 16:32:38,779 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:32:51.8058567Z,"2025-05-05 16:32:51,805 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:34:27.6768126Z,"2025-05-05 16:34:27,676 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:34:42.4926067Z,"2025-05-05 16:34:42,492 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:38:01.6385807Z,"2025-05-05 16:38:01,638 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:38:53.4430754Z,"2025-05-05 16:38:53,441 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:47:27.2017489Z,"2025-05-05 16:47:27,198 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-05T16:48:04.0504758Z,"2025-05-05 16:48:04,050 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T06:05:34.4214646Z,"2025-05-06 06:05:34,404 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T06:34:06.7988623Z,"2025-05-06 06:34:06,751 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T06:35:40.6659518Z,"2025-05-06 06:35:40,665 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T06:57:10.8401687Z,"2025-05-06 06:57:10,810 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T07:16:36.8100743Z,"2025-05-06 07:16:36,768 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T07:57:40.0875994Z,"2025-05-06 07:57:40,053 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T08:46:09.9300614Z,"2025-05-06 08:46:09,911 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T09:00:10.6652147Z,"2025-05-06 09:00:10,645 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T09:02:20.7150606Z,"2025-05-06 09:02:20,714 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T09:21:47.2010636Z,"2025-05-06 09:21:47,171 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T09:22:48.2626279Z,"2025-05-06 09:22:48,262 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T09:33:20.5206947Z,"2025-05-06 09:33:20,515 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T09:33:34.7288049Z,"2025-05-06 09:33:34,722 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T09:36:25.8083833Z,"2025-05-06 09:36:25,807 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T09:55:38.5886218Z,"2025-05-06 09:55:38,588 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T10:41:12.7630851Z,"2025-05-06 10:41:12,733 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T10:41:50.192786Z,"2025-05-06 10:41:50,192 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:04:01.6885817Z,"2025-05-06 11:04:01,636 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T11:20:05.8990704Z,"2025-05-06 11:20:05,890 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T11:23:04.2445804Z,"2025-05-06 11:23:04,244 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:29:06.6313258Z,"2025-05-06 11:29:06,631 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T11:29:25.7751048Z,"2025-05-06 11:29:25,775 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T11:29:51.2872226Z,"2025-05-06 11:29:51,287 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:30:49.6921534Z,"2025-05-06 11:30:49,686 - INFO - src.routes.routes - Model: gpt-4o | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-05-06T11:32:56.5493254Z,"2025-05-06 11:32:56,549 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:33:28.803862Z,"2025-05-06 11:33:28,801 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:34:35.7113532Z,"2025-05-06 11:34:35,711 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:35:15.0273248Z,"2025-05-06 11:35:15,027 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:35:38.1889611Z,"2025-05-06 11:35:38,185 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:37:54.3950225Z,"2025-05-06 11:37:54,394 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T11:43:24.5527012Z,"2025-05-06 11:43:24,552 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-05-06T11:55:57.7078199Z,"2025-05-06 11:55:57,686 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T12:00:54.7554003Z,"2025-05-06 12:00:54,755 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T12:00:59.156417Z,"2025-05-06 12:00:59,144 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T12:02:16.8843022Z,"2025-05-06 12:02:16,884 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-05-06T12:41:50.2717059Z,"2025-05-06 12:41:49,815 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-05-06T13:51:08.488605Z,"2025-05-06 13:51:06,937 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
