"TimeGenerated [UTC]",ResultDescription
"12/1/2025, 7:35:45.326 AM","2025-12-01 07:35:45,326 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 9:20:07.238 AM","2025-12-01 09:20:07,238 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 9:48:02.455 AM","2025-12-01 09:48:02,454 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 9:48:41.267 AM","2025-12-01 09:48:41,267 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 9:53:01.323 AM","2025-12-01 09:53:01,322 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 2:52:07.186 PM","2025-12-01 14:52:07,185 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 6:46:47.203 AM","2025-12-01 06:46:47,203 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 8:43:40.385 AM","2025-12-01 08:43:40,385 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 8:49:19.156 AM","2025-12-01 08:49:19,156 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 8:47:09.574 AM","2025-12-01 08:47:09,574 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 10:45:34.550 AM","2025-12-01 10:45:34,550 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 12:09:53.708 PM","2025-12-01 12:09:53,707 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 8:01:32.398 AM","2025-12-01 08:01:32,397 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 2:33:52.463 PM","2025-12-01 14:33:52,462 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 8:28:29.977 AM","2025-12-01 08:28:29,977 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 9:36:50.381 AM","2025-12-01 09:36:50,381 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 10:19:59.593 AM","2025-12-01 10:19:59,592 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 10:16:10.505 AM","2025-12-01 10:16:10,505 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 2:09:59.606 PM","2025-12-01 14:09:59,605 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 2:44:58.636 PM","2025-12-01 14:44:58,636 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 2:49:49.826 PM","2025-12-01 14:49:49,826 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 3:09:09.710 PM","2025-12-01 15:09:09,710 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 3:16:22.199 PM","2025-12-01 15:16:22,199 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 3:20:33.392 PM","2025-12-01 15:20:33,392 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 8:29:09.202 AM","2025-12-01 08:29:09,202 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 8:29:44.561 AM","2025-12-01 08:29:44,560 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 8:31:49.026 AM","2025-12-01 08:31:49,025 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 8:34:06.220 AM","2025-12-01 08:34:06,219 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 9:38:12.826 AM","2025-12-01 09:38:12,826 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 9:49:21.767 AM","2025-12-01 09:49:21,767 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 10:31:35.293 AM","2025-12-01 10:31:35,292 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"12/1/2025, 1:39:18.995 PM","2025-12-01 13:39:18,995 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 2:29:19.889 PM","2025-12-01 14:29:19,881 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/1/2025, 2:51:59.285 PM","2025-12-01 14:51:59,285 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 3:22:22.620 PM","2025-12-01 15:22:22,620 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/1/2025, 3:34:45.623 PM","2025-12-01 15:34:45,623 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 8:18:09.481 AM","2025-12-08 08:18:09,480 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 8:18:13.918 AM","2025-12-08 08:18:13,918 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 10:43:50.169 AM","2025-12-08 10:43:50,168 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 11:08:47.734 AM","2025-12-08 11:08:47,734 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 12:14:20.940 PM","2025-12-08 12:14:20,940 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 3:42:36.971 PM","2025-12-08 15:42:36,971 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"12/8/2025, 8:31:36.647 AM","2025-12-08 08:31:36,645 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 9:07:16.758 AM","2025-12-08 09:07:16,755 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 10:45:14.799 AM","2025-12-08 10:45:14,799 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 4:07:48.910 PM","2025-12-08 16:07:48,910 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"12/8/2025, 4:35:42.016 PM","2025-12-08 16:35:42,016 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 11:18:31.377 AM","2025-12-08 11:18:31,377 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 5:57:33.281 PM","2025-12-08 17:57:33,281 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 11:23:33.215 AM","2025-12-08 11:23:33,215 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 4:08:37.772 PM","2025-12-08 16:08:37,772 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 4:09:30.907 PM","2025-12-08 16:09:30,907 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 2:31:21.656 PM","2025-12-08 14:31:21,656 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
"12/8/2025, 2:33:50.222 PM","2025-12-08 14:33:50,222 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 3:35:39.356 PM","2025-12-08 15:35:39,327 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 3:39:58.123 PM","2025-12-08 15:39:58,122 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 8:28:17.396 AM","2025-12-08 08:28:17,396 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 9:02:03.129 AM","2025-12-08 09:02:03,129 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 9:03:08.486 AM","2025-12-08 09:03:08,485 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/8/2025, 10:47:57.851 AM","2025-12-08 10:47:57,850 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 2:54:26.910 PM","2025-12-08 14:54:26,909 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 4:31:32.649 PM","2025-12-08 16:31:32,648 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 4:59:55.330 PM","2025-12-08 16:59:55,330 - INFO - src.routes.routes - Model: sonar-reasoning | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/8/2025, 5:05:42.098 PM","2025-12-08 17:05:42,098 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
"12/10/2025, 7:22:52.772 AM","2025-12-10 07:22:52,771 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
"12/10/2025, 10:07:31.305 AM","2025-12-10 10:07:31,305 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
