time,resultDescription
2025-06-01T08:18:24.4395199Z,"2025-06-01 08:18:24,429 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-01T08:19:19.2970649Z,"2025-06-01 08:19:19,296 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-06-01T08:24:27.1677366Z,"2025-06-01 08:24:27,137 - INFO - src.routes.routes - Model: gpt-4o | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-06-01T09:15:26.1228617Z,"2025-06-01 09:15:26,111 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-01T09:35:01.9580629Z,"2025-06-01 09:35:01,900 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-01T11:57:37.61984Z,"2025-06-01 11:57:37,609 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T06:21:55.6375958Z,"2025-06-02 06:21:55,549 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T06:26:56.3419083Z,"2025-06-02 06:26:56,340 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T06:29:06.3421555Z,"2025-06-02 06:29:06,341 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T06:31:15.8023976Z,"2025-06-02 06:31:15,798 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T06:32:04.2802833Z,"2025-06-02 06:32:04,279 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T06:32:20.0415079Z,"2025-06-02 06:32:20,041 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T06:35:28.8340526Z,"2025-06-02 06:35:28,782 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T06:35:56.7197163Z,"2025-06-02 06:35:56,719 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T06:36:36.6677386Z,"2025-06-02 06:36:36,667 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T06:36:49.2215882Z,"2025-06-02 06:36:49,221 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T06:37:48.7280703Z,"2025-06-02 06:37:48,727 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T06:37:55.0880327Z,"2025-06-02 06:37:55,087 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T06:38:49.6717898Z,"2025-06-02 06:38:49,671 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T06:39:40.0701685Z,"2025-06-02 06:39:40,070 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T06:40:17.9145Z,"2025-06-02 06:40:17,914 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T06:54:15.8727487Z,"2025-06-02 06:54:15,857 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: "
2025-06-02T07:21:39.7213469Z,"2025-06-02 07:21:39,691 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T07:21:52.9374746Z,"2025-06-02 07:21:52,937 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T07:27:52.1254902Z,"2025-06-02 07:27:52,125 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T07:29:00.7501891Z,"2025-06-02 07:29:00,055 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T07:37:29.1268782Z,"2025-06-02 07:37:29,096 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T07:39:12.1865845Z,"2025-06-02 07:39:12,186 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T07:44:30.6046387Z,"2025-06-02 07:44:30,604 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
2025-06-02T07:47:41.0695397Z,"2025-06-02 07:47:41,069 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-06-02T07:48:13.3488993Z,"2025-06-02 07:48:13,346 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode: public | Search Mode: internet"
