time,resultDescription
2025-10-01T06:17:32.5921487Z,"2025-10-01 06:17:32,591 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-10-01T06:18:56.5275547Z,"2025-10-01 06:18:56,521 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: True | Relevant Documents: 10 | Mode: default | Search Mode: database"
2025-10-01T06:43:37.67488Z,"2025-10-01 06:43:37,673 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-01T06:47:32.1530538Z,"2025-10-01 06:47:32,152 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-01T06:53:05.3604515Z,"2025-10-01 06:53:05,360 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-01T06:54:02.1326013Z,"2025-10-01 06:54:02,132 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-01T07:04:48.2110698Z,"2025-10-01 07:04:48,210 - INFO - src.routes.routes - Model: gpt-5-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-10-01T07:45:44.4136481Z,"2025-10-01 07:45:44,411 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-01T07:50:56.347284Z,"2025-10-01 07:50:56,346 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-01T07:52:11.9251668Z,"2025-10-01 07:52:11,924 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-01T07:53:10.8973942Z,"2025-10-01 07:53:10,897 - INFO - src.routes.routes - Model: sonar-deep-research | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-10-01T08:19:15.7142121Z,"2025-10-01 08:19:15,713 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
