time,resultDescription
2025-09-01T05:45:51.0228623Z,"2025-09-01 05:45:51,022 - INFO - src.routes.routes - Model: gpt-4.1 | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T06:06:05.6316566Z,"2025-09-01 06:06:05,630 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T06:06:23.7708173Z,"2025-09-01 06:06:23,770 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T06:40:08.6545107Z,"2025-09-01 06:40:08,654 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T06:44:21.6166995Z,"2025-09-01 06:44:21,616 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T06:44:52.0087818Z,"2025-09-01 06:44:52,008 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T06:45:29.2974627Z,"2025-09-01 06:45:28,218 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T06:48:26.5906991Z,"2025-09-01 06:48:26,590 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: "
2025-09-01T06:51:56.3360905Z,"2025-09-01 06:51:56,335 - INFO - src.routes.routes - Model: gpt-4.1-mini | Use Database: True | Relevant Documents: 10 | Mode: public | Search Mode: database"
2025-09-01T06:55:44.4123467Z,"2025-09-01 06:55:44,412 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T06:58:02.6666848Z,"2025-09-01 06:58:02,661 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T06:59:44.8286684Z,"2025-09-01 06:59:44,828 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T07:03:09.3787099Z,"2025-09-01 07:03:09,378 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T07:10:22.1659622Z,"2025-09-01 07:10:22,165 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
2025-09-01T07:21:39.7389637Z,"2025-09-01 07:21:39,738 - INFO - src.routes.routes - Model: sonar | Use Database: False | Relevant Documents: 10 | Mode:  | Search Mode: internet"
